cor_1,cor_pai
SORTIDOS,Outras
LARANJA,Laranja
VERDE ESCURO,Verde
PO DE ARROZ,Bege
VINHO,Roxo
MARINHO,Marinho
AREIA,Areia
AZUL,Azul
MARROM CLARO,Marrom
AZUL MARINHO,Marinho
AZUL BIC,Azul
GRAFITE,Grafite
BRANCO,Branco
AZUL ESCURO,Marinho
AZUL ROYAL,Azul
OFF WHITE,Bege
OURO,Amarelo
VIOLETA,Violeta
ROSA BEBE,Rosa
BEGE CLARA,Bege
JEANS PISTOLADO,Jeans
KAKI,Kaki
NATURAL,Bege
ROSA,Rosa
CINZA CLARO,Cinza
CINZA ESCURO,Cinza
KAKI ESCURO ,Kaki
BORDO,Bordo
PRETO LINHAS,Preto
CAFE,Marrom
GOIABA ,Rosa
BRANCA,Branco
CARAMELO,Amarelo
MARROM,Marrom
AZUL CLARO,Azul
CAFÉ,Marrom
KAKI CLARO,Kaki
TERRACOTA,Laranja
MARROM DTALHADO,Marrom
OFF,Preto
VERMELHO,Vermelho
PRETO,Preto
PADRAO,Outras
MARSALA,Roxo
VERDE,Verde
XADREZ,Outras
AZUL NOITE,Marinho
CINZA,Cinza
MOGNO,Marrom
AZUL JEANS,Jeans
ESTAMPADA,Outras
LISTRADO,Outras
AZUL XADREZ,Azul
CHUMBO,Chumbo
TELHA,Marrom
JEANS CLARO,Jeans
BEGE,Bege
PESSEGO,Laranja
VERDE MILITAR,Verde
ROSE,Rose
VERDE LIMÃO,Verde
AZUL CELESTE,Azul
AZUL BÊBÊ,Azul
CAKI,Kaki
CINZENTO,Cinza
BEGE ESCURO,Bege
CREME,Bege
ROXO CLARO,Roxo
VERDE MUSGO,Verde
PINK,Rosa
AZUL CÉU,Azul
VERDE CLARO,Verde
ROSA LINHAS,Rosa
GELO,Branco
CINZA XADREZ,Cinza
MARROM CAFÉ,Marrom
NUDE,Bege
CHOCOLATE,Marrom
AMARELO,Amarelo
JEANS ESCURO,Jeans
CHAMPANHE,Branco
AZUL CEU,Azul
VERDE AGUA,Verde
MESCLA,Verde
SALMAO,Rosa
FUCSIA,Bordo
ROXO,Roxo
CONHAQUE,Marrom
MARINHO 1,Marinho
BRANCO 1,Branco
ROSA CLARO,Rosa
MARINHO NOITE,Marinho
PETRÓLEO,Preto
PEROLA,Branco
ESTAMPADO,Outras
MAGENTA,Roxo
CORAL,Rosa
PRATA BRILHOSO,Prata
PRETO XADREZ,Preto
AZUL PETROLEO,Marinho
AZUL CARIBE,Azul
AZUL TIFFANY,Azul
ROSA CHÁ,Rosa
AZUL CINZENTO,Azul
AZUL LINHA ,Azul
ROSE GOLD,Rose
AZUL ÍNDIGO ,Azul
SALMON,Rosa
AZUL HARMONIA ,Azul
JEANS,Jeans
CINZA 1,Cinza
PRETO LISO,Preto
MARROM LISO,Marrom
OLIVIA,Verde
GOLD,Amarelo
MOSTARDA,Amarelo
DOURADO,Amarelo
MARINHO 2,Marinho
VERMELHO ESCURO,Vermelho
PRETO DETALHADO,Preto
PRATA,Prata
FUME,Grafite
PRETO MESCLADO,Preto
DIVERSOS,Outras
BEGE MESCLA,Bege
LILAS,Roxo
CINZA DETALHADO,Cinza
VERDE BANDEIRA,Verde
PEROLADO,Branco
VERDE NEON,Verde
AZUL-CAPRI,Azul
TIE DYE,Outras
SAXOFONE,Outras
PINHAO,Marrom
ROSA CHICLETE,Rosa
VERDE CINZENTO,Verde
VERDE MENTA,Verde
AVELÃ,Marrom
TURQUESA,Outras
VIOLETA ESCURO,Roxo
CINZA MESCLA,Cinza
BRONZE,Marrom
FLORAL,Outras
NEGRESCO,Preto
AZUL PSCINA,Azul
NEW CAMEL,Outras
UVA,Roxo
FERRUGEM ,Laranja
VERMELHO HIBISC,Vermelho
AZUL 1,Azul
VERDE PISCINA,Verde
CHAMPAGNE,Branco
NAVI,Outras
FLORIDO,Outras
TABACO,Marrom
AZUL BRILHOSO ,Azul
METAL ,Chumbo
CINZA LINHA,Cinza
OURO ROSADO,Rosa
CACAU,Marrom
TROMPETE,Outras
CAKI CLARO,Kaki
VERDE ENELHECID,Verde
ROSA 1,Rosa
ROSA ESCURO,Rosa
ROXO ESCAMA,Roxo
RUBI,Vermelho
VERDE LINHAS,Verde
MARINHO BRILHOS,Marinho
ROSA BÊBÊ,Rosa
ROSA ANTIGO,Rosa
OPACA,Outras
COLORIDO,Outras
PRETO BRILHOSO ,Preto
JEANS MARMORE,Jeans
ROSA ENVELHECID,Rosa
CAMUFLADO,Outras
TRABALHADA,Outras
AZUL NAUTICO,Azul
TAUPE,Outras
NUDE NIQUEL,Bege
AZUL VIOLETA,Azul
MARRON CAFE,Marrom
SANJA,Outras
ONCINHA,Outras
CLARO,Outras
MARFIN,Outras
VERDE OLIVA,Verde
LISTRAS,Outras
ARGILA,Marrom
OCRE,Outras
VIOLINO,Outras
ESTAMPA 7,Outras
CLAVE DE SOL,Outras
